product_category_name_english,median_score,avg_score,n_orders,pct_negative
office_furniture,4.0,3.651294498381877,1236,21.844660194174757
fashio_female_clothing,4.5,3.9166666666666665,36,16.666666666666664
agro_industry_and_commerce,5.0,4.107344632768362,177,12.429378531073446
furniture_decor,5.0,4.072806875304037,6167,14.982973893303065
furniture_living_room,5.0,4.094059405940594,404,13.366336633663368
furniture_mattress_and_upholstery,5.0,3.891891891891892,37,18.91891891891892
garden_tools,5.0,4.194108983799706,3395,11.870397643593519
health_beauty,5.0,4.234875029198785,8562,11.282410651716889
home_appliances,5.0,4.212365591397849,744,11.021505376344086
home_appliances_2,5.0,4.155555555555556,225,12.444444444444445
home_confort,5.0,3.907608695652174,368,17.934782608695652
home_construction,5.0,4.053879310344827,464,15.301724137931034
housewares,5.0,4.203183023872679,5655,11.582670203359859
industry_commerce_and_business,5.0,4.237885462555066,227,10.13215859030837
kitchen_dining_laundry_garden_furniture,5.0,4.135021097046414,237,10.970464135021098
luggage_accessories,5.0,4.379482071713148,1004,7.868525896414343
market_place,5.0,4.116541353383458,266,11.654135338345863
music,5.0,4.297297297297297,37,8.108108108108109
musical_instruments,5.0,4.247920133111481,601,11.314475873544092
party_supplies,5.0,4.078947368421052,38,15.789473684210526
perfumery,5.0,4.266405484818805,3063,11.622592229840025
pet_shop,5.0,4.280167264038232,1674,10.454002389486261
signaling_and_security,5.0,4.116788321167883,137,11.678832116788321
small_appliances,5.0,4.264559068219634,601,11.314475873544092
small_appliances_home_oven_and_coffee,5.0,4.430555555555555,72,6.944444444444445
sports_leisure,5.0,4.233248287901168,7447,11.23942527192158
stationery,5.0,4.306177260519248,2234,9.758281110116384
tablets_printing_image,5.0,4.173333333333333,75,12.0
telephony,5.0,4.056021717670286,4052,14.0177690029615
furniture_bedroom,5.0,4.292134831460674,89,11.235955056179774
food_drink,5.0,4.444954128440367,218,4.128440366972478
food,5.0,4.324825986078887,431,10.208816705336426
fixed_telephony,5.0,3.9665071770334928,209,16.74641148325359
air_conditioning,5.0,4.128630705394191,241,13.692946058091287
art,5.0,4.126984126984127,189,13.227513227513226
audio,5.0,3.8475073313782993,341,21.407624633431084
auto,5.0,4.151258278145695,3775,12.847682119205297
baby,5.0,4.121853338197738,2741,13.75410434148121
bed_bath_table,5.0,4.0111331569664905,9072,15.729717813051147
books_general_interest,5.0,4.539877300613497,489,6.134969325153374
books_imported,5.0,4.510204081632653,49,8.16326530612245
books_technical,5.0,4.425196850393701,254,9.448818897637794
christmas_supplies,5.0,4.1138211382113825,123,11.38211382113821
cine_photo,5.0,4.333333333333333,63,11.11111111111111
computers,5.0,4.242774566473988,173,10.982658959537572
computers_accessories,5.0,4.083462132921174,6470,14.497681607418855
consoles_games,5.0,4.1850746268656716,1005,10.945273631840797
construction_tools_construction,5.0,4.132780082987552,723,13.139695712309821
construction_tools_lights,5.0,4.214912280701754,228,8.771929824561402
construction_tools_safety,5.0,4.019607843137255,153,15.686274509803921
cool_stuff,5.0,4.227584237578527,3502,10.993717875499714
costruction_tools_garden,5.0,4.278688524590164,183,11.475409836065573
costruction_tools_tools,5.0,4.425531914893617,94,8.51063829787234
drinks,5.0,4.257042253521127,284,9.507042253521126
dvds_blu_ray,5.0,4.196428571428571,56,14.285714285714285
electronics,5.0,4.128617363344051,2488,13.062700964630224
fashion_bags_accessories,5.0,4.243063263041066,1802,10.099889012208656
fashion_male_clothing,5.0,3.8190476190476192,105,22.857142857142858
fashion_shoes,5.0,4.275109170305677,229,10.91703056768559
fashion_underwear_beach,5.0,4.008620689655173,116,16.379310344827587
toys,5.0,4.240330754867965,3749,11.309682582021873
watches_gifts,5.0,4.127025036818852,5432,13.530927835051546
