term,tfidf_score,type
comprei,0.0643343125498235,unigram
veio,0.05998989992512715,unigram
entregue,0.05698737958582599,unigram
entrega,0.05656282283151008,unigram
pedido,0.03244903425537733,unigram
agora,0.029127203052359864,unigram
dia,0.0282100491261985,unigram
qualidade,0.02423605739427651,unigram
apenas,0.02347435510298237,unigram
nada,0.02234172418749834,unigram
aguardando,0.0216259871630139,unigram
quero,0.02152340377772072,unigram
site,0.021398527503699496,unigram
lannister,0.021173440192929112,unigram
dois,0.020904241961438193,unigram
outro,0.019427771007263835,unigram
dias,0.01926538499734378,unigram
contato,0.019206435285944904,unigram
momento,0.018788923990685033,unigram
porém,0.01849231773485715,unigram
recomendo,0.01776870825364328,unigram
pra,0.01737699888596712,unigram
correios,0.01644320109298615,unigram
diferente,0.016128148273993392,unigram
fiz,0.016086263569761085,unigram
paguei,0.01541741466899796,unigram
aguardo,0.01536531201427869,unigram
gostei,0.015259781528607418,unigram
duas,0.014664292938931865,unigram
defeito,0.014428314454064593,unigram
mercadoria,0.014348233890029144,unigram
pedi,0.014304950362724243,unigram
resposta,0.014188632104681017,unigram
falta,0.014131038117822828,unigram
receber,0.014094168583089286,unigram
problema,0.01405944543623357,unigram
nota,0.014027062361565147,unigram
entregaram,0.013935841773481658,unigram
errado,0.013762506951201039,unigram
hoje,0.013364690836045455,unigram
dinheiro,0.01326234060224263,unigram
retorno,0.013162144448798112,unigram
empresa,0.012843424544062612,unigram
vou,0.01268160955559451,unigram
somente,0.012532436854172208,unigram
troca,0.012517449653386954,unigram
saber,0.012269996796540226,unigram
faltando,0.012034090129494098,unigram
demora,0.011981189552082737,unigram
devolução,0.011747408976456465,unigram
